time,latitude,longitude,depth,mag,place
2023-12-27T09:54:26.013Z,-27.1903,-178.9672,399.85,4.0,Kermadec Islands region
2023-12-27T09:35:40.171Z,12.8348,-90.9498,35.0,4.6,"121 km S of Puerto San José, Guatemala"
2023-12-27T09:00:05.608Z,38.6772,73.6254,102.533,4.2,"63 km NNW of Murghob, Tajikistan"
2023-12-27T07:55:13.557Z,37.992,37.6592,10.0,4.1,"19 km E of Nurhak, Turkey"
2023-12-27T06:16:56.406Z,53.4759,-165.0941,35.0,4.3,"85 km SSE of Akutan, Alaska"
2023-12-27T06:16:44.829Z,53.5426,-165.0653,43.889,4.0,"80 km SE of Akutan, Alaska"
2023-12-27T05:59:05.786Z,-2.4069,138.2885,36.644,4.2,"261 km W of Abepura, Indonesia"
2023-12-27T05:09:19.806Z,57.0045,108.7206,10.0,5.3,"94 km SSE of Kirensk, Russia"
2023-12-27T03:40:55.503Z,20.2049,145.2254,10.0,4.2,"Maug Islands region, Northern Mariana Islands"
2023-12-27T02:36:30.923Z,52.576,-33.4216,10.0,4.4,Reykjanes Ridge
2023-12-26T23:44:08.369Z,19.203,121.2383,47.02,4.2,"65 km N of Namuac, Philippines"
2023-12-26T23:43:49.317Z,33.822,138.2459,272.88,4.4,"86 km S of Ōyama, Japan"
2023-12-26T23:41:49.883Z,-21.1015,-178.575,535.623,4.6,Fiji region
2023-12-26T22:53:57.739Z,41.9589,142.2525,62.994,4.7,"42 km SSW of Shizunai-furukawachō, Japan"
2023-12-26T22:38:35.351Z,26.0895,128.6231,10.0,4.0,"76 km SE of Taira, Japan"
2023-12-26T21:22:31.054Z,38.2403,22.0656,28.035,4.1,"1 km WSW of Aígio, Greece"
2023-12-26T20:31:56.475Z,-1.1965,136.8122,23.324,4.4,"81 km E of Biak, Indonesia"
2023-12-26T20:10:37.633Z,-20.6171,-178.1216,526.277,4.4,"299 km WNW of Houma, Tonga"
2023-12-26T19:10:22.475Z,42.7773,131.803,522.98,4.6,"21 km SSE of Popova, Russia"
2023-12-26T19:03:01.288Z,-23.2537,-179.7717,532.309,4.5,south of the Fiji Islands
2023-12-26T19:01:58.090Z,-55.2913,-29.2708,39.183,4.9,South Sandwich Islands region
2023-12-26T17:09:50.604Z,-11.4858,117.374,10.0,4.4,"south of Sumbawa, Indonesia"
2023-12-26T16:11:31.567Z,10.915,-70.5127,25.954,4.5,"21 km ESE of Dabajuro, Venezuela"
2023-12-26T15:06:18.936Z,31.5109,139.7096,10.0,4.8,"Izu Islands, Japan region"
2023-12-26T15:05:32.422Z,-15.5757,-172.6855,10.0,4.4,"126 km ENE of Hihifo, Tonga"
2023-12-26T14:12:55.231Z,-56.3856,-27.2106,125.59,5.0,South Sandwich Islands region
2023-12-26T13:11:43.180Z,-5.2714,145.3057,87.171,5.1,"53 km W of Madang, Papua New Guinea"
2023-12-26T12:38:19.542Z,14.6855,55.5107,10.0,4.7,"277 km NE of Hadibu, Yemen"
2023-12-26T11:39:23.602Z,2.0,125.8117,9.696,4.2,"98 km NE of Bitung, Indonesia"
2023-12-26T11:12:50.820Z,-9.7104,124.905,10.0,4.5,"55 km ESE of Kefamenanu, Indonesia"
2023-12-26T10:20:27.825Z,8.4863,126.9279,58.852,4.8,"65 km ENE of Barcelona, Philippines"
